IdPoliza,cvePoliza,FechaEmision,IdConfiguracion,IdEmpresa,IdAgente,NumGarantia,MontoAfianzado,MontoRetenido,MontoCubierto,TipoUltimoEstado,UltimoEstado,FechaAviso,FechaFinVig
1,ALE001000020000,2020-03-26,32350,62,1,0,10125.87,10125.87,10125.87,Con leyenda,NULL,NULL,2020-07-01
2,ALE001000021000,2020-03-26,32350,62,1,0,193992.31,193992.31,193992.31,Con leyenda,NULL,NULL,2020-07-01
3,ALE001000022000,2020-03-26,32350,62,1,1,1540.89,1540.89,1540.89,Con leyenda,2019-12-31,2016-06-01,NULL
4,ALE001000023000,2020-03-26,32350,62,1,1,8981.21,8981.21,8981.21,Con leyenda,2019-12-31,2016-06-01,NULL
5,ALE001000024000,2020-03-26,32350,62,1,0,154117.51,154117.51,154117.51,Con leyenda,NULL,NULL,2020-07-01
6,ALE004000023000,2014-04-24,31335,932,2,0,2827850.74,2827850.74,2827850.74,Con leyenda,NULL,NULL,2014-11-11
7,ALE004000024000,2014-07-01,31338,932,2,1,894009.66,894009.66,894009.66,Con leyenda,2014-09-30,2020-04-30,NULL
8,ALE004000025000,2014-07-01,31338,932,2,0,1961499.15,1961499.15,1961499.15,Con leyenda,NULL,NULL,2014-11-11
9,ALE004000026000,2014-07-01,31334,932,2,0,894009.66,894009.66,894009.66,Con leyenda,NULL,NULL,2014-11-11
10,ALE004000027000,2014-08-11,31338,932,2,0,59394.71,59394.71,59394.71,Con leyenda,NULL,NULL,2014-11-11
11,ALE004000028000,2014-08-11,31338,932,2,0,154545.84,154545.84,154545.84,Con leyenda,NULL,NULL,2014-11-11
12,ALE004000029000,2014-08-11,31334,932,2,0,59394.71,59394.71,59394.71,Con leyenda,NULL,NULL,2014-11-11
13,ALE004000030000,2014-10-31,31338,932,2,0,163910.16,163910.16,163910.16,Con leyenda,NULL,NULL,2014-11-11
14,ALE004000031000,2014-10-31,31339,932,2,0,182382.45,182382.45,182382.45,Con leyenda,NULL,NULL,2014-11-11
15,ALE004000032000,2014-10-31,31335,932,2,0,364764.91,364764.91,364764.91,Con leyenda,NULL,NULL,2014-11-11
16,ALE004000033000,2014-10-31,31338,442,2,2,55780.51,55780.51,55780.51,Con leyenda,2014-08-31,2020-01-31,NULL
17,ALE004000034000,2014-10-31,31338,442,2,2,111561.03,111561.03,111561.03,Con leyenda,2014-08-31,2020-01-31,NULL
18,ALE004000035000,2014-10-31,31334,442,2,2,55780.51,55780.51,55780.51,Con leyenda,2014-08-31,2020-01-31,NULL
19,ALE004000036000,2014-10-31,31335,442,2,2,167341.54,167341.54,167341.54,Con leyenda,2014-08-31,2020-01-31,NULL
20,ALE004000038000,2015-01-27,31334,422,2,1,284846.35,284846.35,284846.35,Con leyenda,2015-12-30,2020-01-31,NULL
21,ALE005000035000,2017-03-30,32348,576,3,1,196293.66,196293.66,196293.66,Con leyenda,2017-12-31,2020-02-28,NULL
22,ALE005000040000,2018-03-15,32347,576,3,1,152636.49,152636.49,152636.49,Con leyenda,2017-12-31,2020-02-28,NULL
23,ALE005000041000,2018-04-04,32348,576,3,1,206746.7,206746.7,206746.7,Con leyenda,2017-12-31,2020-02-28,NULL
24,ALE006000001000,2015-02-23,31335,222,3,3,2817516.35,2817516.35,2817516.35,Con leyenda,2019-10-31,2019-11-01,NULL
25,ALE006000002000,2015-02-23,31334,222,3,3,1408758.17,1408758.17,1408758.17,Con leyenda,2019-10-31,2019-11-01,NULL
26,CLN001000449000,2004-01-30,31335,830,4,2,15015139.98,7220925.98,15015139.98,Auditada o dictaminada,2007-12-31,2019-12-31,2016-07-12
27,CLN016000711000,2012-09-11,21204,685,5,0,6500,6500,6500,No Actualizado,NULL,NULL,2013-03-14
28,CLN020000038000,2015-09-30,31335,249,6,0,88979.09,88979.09,88979.09,Con leyenda,NULL,NULL,2017-01-10
29,CLN020000039000,2015-09-30,31339,249,6,0,21916.03,21916.03,21916.03,Con leyenda,NULL,NULL,2017-01-10
30,CLN020000047000,2016-01-28,32353,609,6,0,186224.5,186224.5,186224.5,Con leyenda,NULL,NULL,2018-02-16
31,CLN020000048000,2016-02-05,32353,609,6,1,188827.43,188827.43,188827.43,Con leyenda,2016-12-31,2019-12-31,2018-02-16
32,CLN020000049000,2016-02-15,31335,249,6,0,42466.7,42466.7,42466.7,Con leyenda,NULL,NULL,2017-01-10
33,CLN020000050000,2016-02-15,31339,249,6,0,12203.08,12203.08,12203.08,Con leyenda,NULL,NULL,2017-01-10
34,CLN020000051000,2016-04-22,32353,609,6,0,83618,83618,83618,Con leyenda,NULL,NULL,2018-02-16
35,CLN023000416000,2015-03-25,32353,609,6,0,176734.14,176734.14,176734.14,Con leyenda,NULL,NULL,2018-02-16
36,DFR001005820000,2003-10-31,31335,830,4,0,9000000,6558129,9000000,Auditada o dictaminada,NULL,NULL,2010-01-14
37,DFR001005821000,2003-10-31,31334,830,4,0,6000000,6000000,6000000,Auditada o dictaminada,NULL,NULL,2010-01-14
38,DFR001008320000,2007-03-01,22215,975,7,0,780000,780000,780000,No Actualizado,NULL,NULL,2008-03-01
39,DFR001008801000,2008-01-22,34325,660,28,3,546137.28,546137.28,546137.28,Con leyenda,2019-10-31,2017-10-31,2012-01-23
40,DFR001009098000,2008-08-05,35321,805,28,1,999120,999120,999120,Con leyenda,2015-05-31,2020-01-02,2020-11-11
41,DFR001009516000,2009-02-13,33309,64,7,1,7785.24,7785.24,7785.24,Sin leyenda c/ Dict. Anual,2008-12-31,2020-02-05,NULL
42,DFR001009621000,2009-04-14,31334,354,88,0,6267970.75,6267970.75,6267970.75,Con leyenda,NULL,NULL,2016-06-02
43,DFR001009680000,2009-05-21,31334,724,68,1,13364726.84,13364726.84,13364726.84,Con leyenda,2009-03-31,2019-12-31,NULL
44,DFR001009854000,2009-09-03,33309,550,7,1,119066.57,119066.57,119066.57,Con leyenda,2015-12-31,2019-12-31,NULL
45,DFR001009855000,2009-09-03,33309,550,7,1,65250,65250,65250,Con leyenda,2015-12-31,2019-12-31,NULL
46,DFR001010216000,2010-04-16,33309,927,7,1,28730,28730,28730,Sin leyenda c/ Dict. Anual,2011-12-31,2020-04-01,NULL
47,DFR001010287000,2010-05-31,22214,525,7,2,6270,6270,6270,Auditada o dictaminada,2009-12-31,2020-04-30,NULL
48,DFR001010483000,2010-09-21,31335,319,71,1,22000000,15472739.67,22000000,Con leyenda,2015-05-31,2020-05-31,2017-06-09
49,DFR001010520000,2010-10-12,32348,771,7,0,500000,500000,500000,No Actualizado,NULL,NULL,2020-05-06
50,DFR001010528000,2010-10-18,31334,723,80,7,3794869.24,3794869.24,3794869.24,Con leyenda,2017-08-31,2020-03-02,2013-10-17
51,DFR001011184000,2011-12-22,32348,421,7,3,19922761.2,16420104.29,19922761.2,Auditada o dictaminada,2019-12-31,2019-06-30,NULL
52,DFR001011229000,2012-01-17,22213,63,7,0,940290,940290,940290,No Actualizado,NULL,NULL,2013-01-16
53,DFR001011415000,2012-05-16,35321,593,28,0,2800000,2800000,2800000,Sin leyenda,NULL,NULL,2012-12-31
54,DFR001011453000,2012-06-06,32348,740,56,1,2661812.34,2661812.34,2661812.34,Con leyenda,2018-12-30,2020-02-05,NULL
55,DFR001011484000,2012-06-27,33309,245,7,2,2506428.03,2506428.03,2506428.03,Auditada o dictaminada,2012-12-31,2020-04-01,NULL
56,DFR001011498000,2012-07-16,32348,421,7,3,3473560.43,3473560.43,3473560.43,Auditada o dictaminada,2019-12-31,2019-06-30,NULL
57,DFR001011510000,2012-07-24,32348,881,56,1,8408688,8408688,8408688,Con leyenda,2018-07-31,2019-08-01,NULL
58,DFR001011629000,2012-09-26,22214,268,7,2,556457.74,556457.74,556457.74,No Actualizado,2012-12-31,2020-04-01,NULL
59,DFR001011630000,2012-09-26,22214,268,7,2,115405.38,115405.38,115405.38,No Actualizado,2012-12-31,2020-04-01,NULL
60,DFR001011650000,2012-10-02,22213,184,7,2,667261.6,667261.6,667261.6,Auditada o dictaminada,2012-12-31,2020-04-01,NULL
61,DFR001011732000,2012-12-04,32348,515,7,0,7960,7960,7960,Con leyenda,NULL,NULL,2013-12-02
